Provider #,Site Name,State,Type (group),Type,City,County,Rural Status,Site Subcategory,# of Beds,.Hospital Locations,Latitude,Longitude
471305,COPLEY HOSPITAL,VT,Critical Access Hospitals,Critical Access Hospital,Morrisville,Lamoille County,Yes,Critical Access Hospitals,25,Point,44.55415175,-72.59115611
221300,MARTHA'S VINEYARD HOSPITAL INC,MA,Critical Access Hospitals,Critical Access Hospital,Oak Bluffs,Dukes County,Yes,Critical Access Hospitals,19,Point,41.44789999,-70.57487003
221303,ATHOL MEMORIAL HOSPITAL,MA,Critical Access Hospitals,Critical Access Hospital,Athol,Worcester County,Yes,Critical Access Hospitals,25,Point,42.58542353,-72.20887302
301306,CONCORD HOSPITAL- FRANKLIN,NH,Critical Access Hospitals,Critical Access Hospital,Franklin,Merrimack County,Yes,Critical Access Hospitals,25,Point,43.44748727,-71.64231291
301300,UPPER CONNECTICUT VALLEY HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Colebrook,Coos County,Yes,Critical Access Hospitals,16,Point,44.90426783,-71.48156363
301301,COTTAGE HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Woodsville,Grafton County,Yes,Critical Access Hospitals,25,Point,44.13629347,-72.0230624
301303,WEEKS MEDICAL CENTER,NH,Critical Access Hospitals,Critical Access Hospital,Lancaster,Coos County,Yes,Critical Access Hospitals,25,Point,44.48697679,-71.55374522
301304,NEW LONDON HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,New London,Merrimack County,Yes,Critical Access Hospitals,25,Point,43.42121956,-72.0012355
301311,SPEARE MEMORIAL HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Plymouth,Grafton County,Yes,Critical Access Hospitals,25,Point,43.75790255,-71.69488641
301308,VALLEY REGIONAL HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Claremont,Sullivan County,Yes,Critical Access Hospitals,25,Point,43.38541567,-72.34227235
301310,ANDROSCOGGIN VALLEY HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Berlin,Coos County,Yes,Critical Access Hospitals,25,Point,44.48680173,-71.15570515
301305,ALICE PECK DAY MEMORIAL HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Lebanon,Grafton County,Yes,Critical Access Hospitals,25,Point,43.64115249,-72.26475902
301307,"MEMORIAL HOSPITAL, THE",NH,Critical Access Hospitals,Critical Access Hospital,North Conway,Carroll County,Yes,Critical Access Hospitals,25,Point,44.06060207,-71.13852921
301302,LITTLETON REGIONAL HEALTHCARE,NH,Critical Access Hospitals,Critical Access Hospital,Littleton,Grafton County,Yes,Critical Access Hospitals,25,Point,44.31677135,-71.82435128
301309,MONADNOCK COMMUNITY HOSPITAL,NH,Critical Access Hospitals,Critical Access Hospital,Peterborough,Hillsborough County,Yes,Critical Access Hospitals,25,Point,42.89315798,-71.94068598
201313,NORTHERN LIGHT SEBASTICOOK VALLEY HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Pittsfield,Somerset County,Yes,Critical Access Hospitals,25,Point,44.79014964,-69.3709051
201303,PENOBSCOT VALLEY HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Lincoln,Penobscot County,Yes,Critical Access Hospitals,25,Point,45.37532001,-68.48712997
201301,CHARLES A DEAN MEMORIAL HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Greenville,Piscataquis County,Yes,Critical Access Hospitals,25,Point,45.50145001,-69.55902996
201305,CALAIS COMMUNITY HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Calais,Washington County,Yes,Critical Access Hospitals,25,Point,45.1785527,-67.26818668
201311,DOWN EAST COMMUNITY HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Machias,Washington County,Yes,Critical Access Hospitals,25,Point,44.71397704,-67.47585168
201310,BRIDGTON HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Bridgton,Cumberland County,Yes,Critical Access Hospitals,25,Point,44.04636202,-70.71320655
201306,RUMFORD  HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Rumford,Oxford County,Yes,Critical Access Hospitals,25,Point,44.55155499,-70.5564321
201300,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Blue Hill,Hancock County,Yes,Critical Access Hospitals,25,Point,44.41163744,-68.58719624
201307,MILLINOCKET REGIONAL HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Millinocket,Penobscot County,Yes,Critical Access Hospitals,25,Point,45.65285753,-68.71578687
201304,MOUNT DESERT ISLAND HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Bar Harbor,Hancock County,Yes,Critical Access Hospitals,25,Point,44.38872001,-68.20640998
201302,LINCOLN HEALTH,ME,Critical Access Hospitals,Critical Access Hospital,Damariscotta,Lincoln County,Yes,Critical Access Hospitals,25,Point,44.02617579,-69.53065379
201308,HOULTON REGIONAL HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Houlton,Aroostook County,Yes,Critical Access Hospitals,25,Point,46.13379081,-67.84327542
201312,WALDO COUNTY GENERAL HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Belfast,Waldo County,Yes,Critical Access Hospitals,25,Point,44.41248225,-68.99412188
201309,NORTHERN LIGHT MAYO HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Dover Foxcroft,Piscataquis County,Yes,Critical Access Hospitals,25,Point,45.18765658,-69.23785102
201314,REDINGTON FAIRVIEW GENERAL HOSPITAL,ME,Critical Access Hospitals,Critical Access Hospital,Skowhegan,Somerset County,Yes,Critical Access Hospitals,25,Point,44.77909999,-69.69621004
331319,MEDINA MEMORIAL HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Medina,Orleans County,Yes,Critical Access Hospitals,34,Point,43.22331009,-78.39761158
331307,CLIFTON FINE HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Star Lake,St. Lawrence County,Yes,Critical Access Hospitals,20,Point,44.16247158,-75.0564486
331315,GOUVERNEUR HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Gouverneur,St. Lawrence County,Yes,Critical Access Hospitals,25,Point,44.3376355,-75.47424834
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Elizabethtown,Essex County,Yes,Critical Access Hospitals,25,Point,44.21600524,-73.59600859
331312,"DELAWARE VALLEY HOSPITAL, INC",NY,Critical Access Hospitals,Critical Access Hospital,Walton,Delaware County,Yes,Critical Access Hospitals,25,Point,42.16446944,-75.12889096
331320,COBLESKILL REGIONAL HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Cobleskill,Schoharie County,Yes,Critical Access Hospitals,40,Point,42.68669419,-74.48205991
331301,"CUBA MEMORIAL HOSPITAL, INC",NY,Critical Access Hospitals,Critical Access Hospital,Cuba,Allegany County,Yes,Critical Access Hospitals,20,Point,42.2129753,-78.28829438
331314,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,NY,Critical Access Hospitals,Critical Access Hospital,Penn Yan,Yates County,Yes,Critical Access Hospitals,35,Point,42.67084615,-77.06044874
331305,O'CONNOR HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Delhi,Delaware County,Yes,Critical Access Hospitals,25,Point,42.26865218,-74.91558661
331304,MARGARETVILLE MEMORIAL HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Margaretville,Delaware County,Yes,Critical Access Hospitals,22,Point,42.1476076,-74.64274686
331311,LITTLE FALLS HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Little Falls,Herkimer County,Yes,Critical Access Hospitals,25,Point,43.04400045,-74.84756095
331309,RIVER HOSPITAL CLINICS,NY,Critical Access Hospitals,Critical Access Hospital,Alexandria Bay,Jefferson County,Yes,Critical Access Hospitals,24,Point,44.33724205,-75.9201479
331310,ELLENVILLE REGIONAL HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Ellenville,Ulster County,Yes,Critical Access Hospitals,25,Point,41.73276567,-74.37928713
331313,SCHUYLER HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Montour Falls,Schuyler County,Yes,Critical Access Hospitals,25,Point,42.35239745,-76.86001548
331316,"COMMUNITY MEMORIAL HOSPITAL, INC",NY,Critical Access Hospitals,Critical Access Hospital,Hamilton,Madison County,Yes,Critical Access Hospitals,25,Point,42.81308105,-75.54293485
511303,MINNIE HAMILTON HEALTH SYSTEM,WV,Critical Access Hospitals,Critical Access Hospital,Grantsville,Calhoun County,Yes,Critical Access Hospitals,43,Point,38.92352468,-81.09205063
511309,VALLEY HEALTH WAR MEMORIAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Berkeley Springs,Morgan County,Yes,Critical Access Hospitals,25,Point,39.6426165,-78.2009345
511300,"BROADDUS HOSPITAL ASSOCIATION, INC",WV,Critical Access Hospitals,Critical Access Hospital,Philippi,Barbour County,Yes,Critical Access Hospitals,72,Point,39.14306139,-80.06210148
511301,WEBSTER MEMORIAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Webster Springs,Webster County,Yes,Critical Access Hospitals,15,Point,38.48272161,-80.410892
511314,POCAHONTAS MEMORIAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Buckeye,Pocahontas County,Yes,Critical Access Hospitals,25,Point,38.20050222,-80.1086518
511304,SISTERSVILLE GENERAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Sistersville,Tyler County,Yes,Critical Access Hospitals,25,Point,39.55849496,-81.00395834
511315,"POTOMAC VALLEY HOSPITAL OF WV, INC",WV,Critical Access Hospitals,Critical Access Hospital,Keyser,Mineral County,Yes,Critical Access Hospitals,25,Point,39.40914089,-79.00365444
511306,ROANE GENERAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Spencer,Roane County,Yes,Critical Access Hospitals,60,Point,38.81302496,-81.36857104
511308,"BRAXTON COUNTY MEMORIAL HOSPITAL, INC",WV,Critical Access Hospitals,Critical Access Hospital,Gassaway,Braxton County,Yes,Critical Access Hospitals,25,Point,38.66033016,-80.74830987
511311,HAMPSHIRE MEMORIAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Romney,Hampshire County,Yes,Critical Access Hospitals,44,Point,39.33254039,-78.69825846
511320,JACKSON GENERAL HOSPITAL,WV,Critical Access Hospitals,Critical Access Hospital,Ripley,Jackson County,Yes,Critical Access Hospitals,25,Point,38.82344421,-81.73020012
511307,"GRAFTON CITY HOSPITAL, INC",WV,Critical Access Hospitals,Critical Access Hospital,Grafton,Taylor County,Yes,Critical Access Hospitals,102,Point,39.3440412,-80.02530861
511322,SUMMERSVILLE REGIONAL MEDICAL CENTER,WV,Critical Access Hospitals,Critical Access Hospital,Summersville,Nicholas County,Yes,Critical Access Hospitals,25,Point,38.29214198,-80.83115979
511321,"ST JOSEPH'S HOSPITAL OF BUCKHANNON, INC",WV,Critical Access Hospitals,Critical Access Hospital,Buckhannon,Upshur County,Yes,Critical Access Hospitals,51,Point,38.99231949,-80.23586051
491303,DICKENSON COMMUNITY HOSPITAL,VA,Critical Access Hospitals,Critical Access Hospital,Clintwood,Dickenson County,Yes,Critical Access Hospitals,25,Point,37.15998663,-82.44932199
491307,"PAGE MEMORIAL HOSPITAL, INC",VA,Critical Access Hospitals,Critical Access Hospital,Luray,Page County,Yes,Critical Access Hospitals,25,Point,38.6624491,-78.46932404
491304,CARILION STONEWALL JACKSON HOSPITAL,VA,Critical Access Hospitals,Critical Access Hospital,Lexington,Lexington City,Yes,Critical Access Hospitals,25,Point,37.77812207,-79.44088745
491305,SHENANDOAH MEMORIAL HOSPITAL,VA,Critical Access Hospitals,Critical Access Hospital,Woodstock,Shenandoah County,Yes,Critical Access Hospitals,25,Point,38.8716736,-78.51382189
491302,CARILION GILES COMMUNITY HOSPITAL,VA,Critical Access Hospitals,Critical Access Hospital,Pearisburg,Giles County,Yes,Critical Access Hospitals,25,Point,37.33292474,-80.71227716
391317,CONEMAUGH MINERS MEDICAL CENTER,PA,Critical Access Hospitals,Critical Access Hospital,Hastings,Cambria County,Yes,Critical Access Hospitals,25,Point,40.65883257,-78.70537813
391301,UPMC MUNCY,PA,Critical Access Hospitals,Critical Access Hospital,Muncy,Lycoming County,Yes,Critical Access Hospitals,20,Point,41.20918188,-76.77517168
391302,CONEMAUGH MEYERSDALE MEDICAL CENTER,PA,Critical Access Hospitals,Critical Access Hospital,Meyersdale,Somerset County,Yes,Critical Access Hospitals,20,Point,39.8091269,-79.02541872
391303,FULTON COUNTY MEDICAL CENTER,PA,Critical Access Hospitals,Critical Access Hospital,Mc Connellsburg,Fulton County,Yes,Critical Access Hospitals,21,Point,39.93718654,-78.0090102
391309,BARNES-KASSON COUNTY HOSPITAL,PA,Critical Access Hospitals,Critical Access Hospital,Susquehanna,Susquehanna County,Yes,Critical Access Hospitals,25,Point,41.94652994,-75.5938845
391308,LECOM HEALTH CORRY MEMORIAL HOSPITAL,PA,Critical Access Hospitals,Critical Access Hospital,Corry,Erie County,Yes,Critical Access Hospitals,20,Point,41.93526244,-79.61291889
391305,TROY COMMUNITY HOSPITAL,PA,Critical Access Hospitals,Critical Access Hospital,Troy,Bradford County,Yes,Critical Access Hospitals,25,Point,41.79277478,-76.79460897
391312,PENN HIGHLANDS BROOKVILLE,PA,Critical Access Hospitals,Critical Access Hospital,Brookville,Jefferson County,Yes,Critical Access Hospitals,35,Point,41.15717364,-79.09253019
391314,TITUSVILLE HOSPITAL,PA,Critical Access Hospitals,Critical Access Hospital,Titusville,Crawford County,Yes,Critical Access Hospitals,25,Point,41.63319759,-79.67986649
391316,UPMC WELLSBORO,PA,Critical Access Hospitals,Critical Access Hospital,Wellsboro,Tioga County,Yes,Critical Access Hospitals,25,Point,41.74582179,-77.29976918
391313,UPMC COLE,PA,Critical Access Hospitals,Critical Access Hospital,Coudersport,Potter County,Yes,Critical Access Hospitals,49,Point,41.7713042,-77.98083787
391315,PENN HIGHLANDS ELK,PA,Critical Access Hospitals,Critical Access Hospital,Saint Marys,Elk County,Yes,Critical Access Hospitals,35,Point,41.4270886,-78.57691507
361323,AULTMAN ORRVILLE HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Orrville,Wayne County,Yes,Critical Access Hospitals,25,Point,40.83193576,-81.76457506
361311,HARRISON COMMUNITY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Cadiz,Harrison County,Yes,Critical Access Hospitals,25,Point,40.25679064,-80.97822606
361320,HOLZER MEDICAL CENTER JACKSON,OH,Critical Access Hospitals,Critical Access Hospital,Jackson,Jackson County,Yes,Critical Access Hospitals,25,Point,39.03242798,-82.64076801
361302,TWIN CITY MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Dennison,Tuscarawas County,Yes,Critical Access Hospitals,25,Point,40.401319,-81.33591037
361304,GREENFIELD AREA MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Greenfield,Highland County,Yes,Critical Access Hospitals,25,Point,39.34940218,-83.38772273
361332,HIGHLAND DISTRICT HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Hillsboro,Highland County,Yes,Critical Access Hospitals,35,Point,39.22157443,-83.60886693
361326,ADAMS COUNTY REGIONAL MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Seaman,Adams County,Yes,Critical Access Hospitals,25,Point,38.93357852,-83.58433167
361307,UHHS MEMORIAL HOSPITAL OF GENEVA,OH,Critical Access Hospitals,Critical Access Hospital,Geneva,Ashtabula County,Yes,Critical Access Hospitals,25,Point,41.80014302,-80.96252399
361308,UNIVERSITY HOSPITALS CONNEAUT MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Conneaut,Ashtabula County,Yes,Critical Access Hospitals,25,Point,41.93696577,-80.58664316
361316,BUCYRUS COMMUNITY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Bucyrus,Crawford County,Yes,Critical Access Hospitals,15,Point,40.81508269,-82.97568673
361322,BLUFFTON HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Bluffton,Allen County,Yes,Critical Access Hospitals,25,Point,40.88722208,-83.8976395
361312,MERCY HEALTH - URBANA HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Urbana,Champaign County,Yes,Critical Access Hospitals,25,Point,40.10667076,-83.72969416
361306,MERCY HEALTH-ALLEN HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Oberlin,Lorain County,Yes,Critical Access Hospitals,25,Point,41.29424751,-82.22469695
361314,MAGRUDER HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Port Clinton,Ottawa County,Yes,Critical Access Hospitals,15,Point,41.50575025,-82.93376254
361331,ADENA FAYETTE MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Washington Court House,Fayette County,Yes,Critical Access Hospitals,25,Point,39.54750813,-83.42660269
361330,HOCKING VALLEY COMMUNITY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Logan,Hocking County,Yes,Critical Access Hospitals,25,Point,39.54774383,-82.42853721
361318,FOSTORIA COMMUNITY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Fostoria,Hancock County,Yes,Critical Access Hospitals,15,Point,41.16332855,-83.42361731
361301,COMMUNITY MEMORIAL HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Hicksville,Defiance County,Yes,Critical Access Hospitals,25,Point,41.30074985,-84.75644092
361327,COMMUNITY HOSPITALS AND WELLNESS CENTERS,OH,Critical Access Hospitals,Critical Access Hospital,Montpelier,Williams County,Yes,Critical Access Hospitals,35,Point,41.58938014,-84.59533035
361328,DEFIANCE REGIONAL MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Defiance,Defiance County,Yes,Critical Access Hospitals,35,Point,41.29858099,-84.37636201
361329,WYANDOT MEMORIAL HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Upper Sandusky,Wyandot County,Yes,Critical Access Hospitals,25,Point,40.84056191,-83.28082489
361313,MORROW COUNTY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Mount Gilead,Morrow County,Yes,Critical Access Hospitals,25,Point,40.54937694,-82.85021408
361321,"BARNESVILLE HOSPITAL ASSOCIATION, INC",OH,Critical Access Hospitals,Critical Access Hospital,Barnesville,Belmont County,Yes,Critical Access Hospitals,25,Point,39.99244461,-81.18922195
361319,SELBY GENERAL HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Marietta,Washington County,Yes,Critical Access Hospitals,25,Point,39.43906826,-81.44475894
361334,ADENA PIKE MEDICAL CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Waverly,Pike County,Yes,Critical Access Hospitals,25,Point,39.11703129,-83.00603292
361315,HARDIN MEMORIAL HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Kenton,Hardin County,Yes,Critical Access Hospitals,25,Point,40.64567332,-83.59599434
361309,"HENRY COUNTY HOSPITAL, INC",OH,Critical Access Hospitals,Critical Access Hospital,Napoleon,Henry County,Yes,Critical Access Hospitals,25,Point,41.41008734,-84.08776353
361333,FULTON COUNTY HEALTH CENTER,OH,Critical Access Hospitals,Critical Access Hospital,Wauseon,Fulton County,Yes,Critical Access Hospitals,35,Point,41.53854399,-84.1342525
47001F,VA HOSP,VT,All Others,Data not provided by CMS,White River Junction,Windsor County,Yes,Data not provided by CMS,174,Point,43.63180279,-72.34961106
30004E,MORRISON HOSP,NH,All Others,Data not provided by CMS,Whitefield,Coos County,Yes,Data not provided by CMS,51,Point,44.37535085,-71.61539719
309801,MARY HITCHCOCK MEMORIAL HOSPITAL - TRANSPLANT,NH,All Others,Data not provided by CMS,Lebanon,Grafton County,Yes,Transplant Hospitals,0,Point,43.67762101,-72.27274396
33023F,US AIR FORCE HOSP,NY,All Others,Data not provided by CMS,Rome,Oneida County,Yes,Data not provided by CMS,80,Point,43.22319424,-75.43641542
33010F,VA HOSP,NY,All Others,Data not provided by CMS,Batavia,Genesee County,Yes,Data not provided by CMS,246,Point,42.9948838,-78.18299729
33022F,US AIR FORCE HOSP,NY,All Others,Data not provided by CMS,Plattsburgh,Clinton County,Yes,Data not provided by CMS,63,Point,44.65,-73.46666999
33011F,VA HOSP,NY,All Others,Data not provided by CMS,Bath,Steuben County,Yes,Data not provided by CMS,208,Point,42.3390628,-77.32099219
33025F,WEST POINT KESSLER ARMY COMMUNITY HOSPITAL,NY,All Others,Data not provided by CMS,West Point,Orange County,Yes,Data not provided by CMS,130,Point,41.40178913,-73.9773395
51003F,LOUIS A JOHNSON VA MEDICAL CENTER (CLARKSBURG),WV,All Others,Data not provided by CMS,Clarksburg,Harrison County,Yes,Data not provided by CMS,143,Point,39.26950299,-80.36249103
51001F,FEDERAL REFORMATORY FOR WOMEN HOSP,WV,All Others,Data not provided by CMS,Alderson,Greenbrier County,Yes,Data not provided by CMS,37,Point,37.729215,-80.64133499
39002F,BUTLER VA MEDICAL CENTER,PA,All Others,Data not provided by CMS,Butler,Butler County,Yes,Data not provided by CMS,199,Point,40.87458561,-79.9434113
36010E,HYGEIA HALL INFIRMARY,OH,All Others,Data not provided by CMS,Wooster,Wayne County,Yes,Data not provided by CMS,12,Point,40.8040784,-81.93820689
36002F,FEDERAL REFORMATORY HOSP,OH,All Others,Data not provided by CMS,Chillicothe,Ross County,Yes,Data not provided by CMS,27,Point,39.3421348,-82.99818369
36025E,MT VERNON STATE HOSP,OH,All Others,Data not provided by CMS,Mount Vernon,Knox County,Yes,Data not provided by CMS,536,Point,40.396,-82.48395999
36008F,CHILLICOTHE VA MEDICAL CENTER,OH,All Others,Data not provided by CMS,Chillicothe,Ross County,Yes,Data not provided by CMS,96,Point,39.38625398,-83.01895403
36040E,GIBBONS HOSP,OH,All Others,Data not provided by CMS,Celina,Mercer County,Yes,Data not provided by CMS,42,Point,40.54800562,-84.57173202
36013E,BOWLING GREEN STATE UNIVERSITY INF,OH,All Others,Data not provided by CMS,Bowling Green,Wood County,Yes,Data not provided by CMS,58,Point,41.372135,-83.64582999
36029E,WESTERN COLLEGE INFIRMARY HOSP,OH,All Others,Data not provided by CMS,Oxford,Butler County,Yes,Data not provided by CMS,0,Point,39.509195,-84.74241999
36014E,MIAMI UNIVERSITY INFIRMARY,OH,All Others,Data not provided by CMS,Oxford,Butler County,Yes,Data not provided by CMS,90,Point,39.50740402,-84.74590532
304000,NEW HAMPSHIRE HOSP-PSYCH UNIT,NH,All Others,Psychiatric Hospital,Concord,Merrimack County,Yes,Psychiatric,230,Point,43.19604099,-71.542964
074008,NATCHAUG HOSPITAL,CT,All Others,Psychiatric Hospital,Mansfield Center,Tolland County,Yes,Psychiatric,60,Point,41.74107981,-72.19722435
204008,RIVERVIEW PSYCHIATRIC CENTER,ME,All Others,Psychiatric Hospital,Augusta,Kennebec County,Yes,Psychiatric,92,Point,44.29961883,-69.77090176
214002,EASTERN SHORE HOSPITAL CENTER,MD,All Others,Psychiatric Hospital,Cambridge,Dorchester County,Yes,Psychiatric,80,Point,38.54085505,-76.06338867
514012,"WILLIAM R SHARPE, JR HOSPITAL",WV,All Others,Psychiatric Hospital,Weston,Lewis County,Yes,Psychiatric,200,Point,39.04127378,-80.4973432
494029,SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE,VA,All Others,Psychiatric Hospital,Marion,Smyth County,Yes,Psychiatric,109,Point,36.83366263,-81.51110204
394043,CLARION PSYCHIATRIC CENTER,PA,All Others,Psychiatric Hospital,Clarion,Clarion County,Yes,Psychiatric,74,Point,41.190723,-79.39685381
394016,WARREN STATE HOSPITAL,PA,All Others,Psychiatric Hospital,North Warren,Warren County,Yes,Psychiatric,152,Point,41.879797,-79.14577456
084005,SUN BEHAVIORAL DELAWARE LLC,DE,All Others,Psychiatric Hospital,Georgetown,Sussex County,Yes,Psychiatric,90,Point,38.69910492,-75.40748706
364055,SOJOURN AT SENECA,OH,All Others,Psychiatric Hospital,Tiffin,Seneca County,Yes,Psychiatric,24,Point,41.10486734,-83.21816784
364047,RIDGEVIEW BEHAVIORAL HOSPITAL,OH,All Others,Psychiatric Hospital,Middle Point,Van Wert County,Yes,Psychiatric,86,Point,40.8785114,-84.47897201
513026,ENCOMPASS HEALTH REHAB HOSPITAL OF PRINCETON,WV,All Others,Rehabilitation Hospital,Princeton,Mercer County,Yes,Rehabilitation,60,Point,37.36253364,-81.11284404
470024,NORTHWESTERN MEDICAL CENTER INC,VT,All Others,Short-Term Hospital,Saint Albans,Franklin County,Yes,Short Term,70,Point,44.80660432,-73.07282344
470011,BRATTLEBORO MEMORIAL HOSPITAL,VT,All Others,Short-Term Hospital,Brattleboro,Windham County,Yes,Short Term,104,Point,42.84226726,-72.56545234
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,VT,All Others,Short-Term Hospital,Bennington,Bennington County,Yes,Short Term,180,Point,42.87493359,-73.20751232
470001,CENTRAL VERMONT MEDICAL CENTER,VT,All Others,Short-Term Hospital,Barre,Washington County,Yes,Short Term,175,Point,44.19694999,-72.49825001
470005,RUTLAND REGIONAL MEDICAL CENTER,VT,All Others,Short-Term Hospital,Rutland,Rutland County,Yes,Short Term,301,Point,43.59927474,-72.95566899
220016,BAYSTATE FRANKLIN MEDICAL CENTER,MA,All Others,Short-Term Hospital,Greenfield,Franklin County,Yes,Short Term,92,Point,42.59589999,-72.59228826
220177,NANTUCKET COTTAGE HOSPITAL,MA,All Others,Short-Term Hospital,Nantucket,Nantucket County,Yes,Short Term,19,Point,41.2751783,-70.1014536
300001,CONCORD HOSPITAL,NH,All Others,Short-Term Hospital,Concord,Merrimack County,Yes,Short Term,295,Point,43.19842698,-71.56222302
300005,CONCORD HOSPITAL- LACONIA,NH,All Others,Short-Term Hospital,Laconia,Belknap County,Yes,Short Term,143,Point,43.52804013,-71.4607978
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,NH,All Others,Short-Term Hospital,Lebanon,Grafton County,Yes,Short Term,396,Point,43.67762101,-72.27274396
300019,CHESHIRE MEDICAL CENTER,NH,All Others,Short-Term Hospital,Keene,Cheshire County,Yes,Short Term,169,Point,42.94963571,-72.2902535
070011,CHARLOTTE HUNGERFORD HOSPITAL,CT,All Others,Short-Term Hospital,Torrington,Litchfield County,Yes,Short Term,109,Point,41.79088311,-73.13337372
070004,SHARON HOSPITAL,CT,All Others,Short-Term Hospital,Sharon,Litchfield County,Yes,Short Term,78,Point,41.88009367,-73.48245182
070021,WINDHAM COMM MEM HOSP & HATCH HOSP,CT,All Others,Short-Term Hospital,Willimantic,Windham County,Yes,Short Term,130,Point,41.71690657,-72.22394988
200039,MAINEGENERAL MEDICAL CENTER,ME,All Others,Short-Term Hospital,Augusta,Kennebec County,Yes,Short Term,287,Point,44.3621392,-69.78140915
200050,NORTHERN LIGHT MAINE COAST HOSPITAL,ME,All Others,Short-Term Hospital,Ellsworth,Hancock County,Yes,Short Term,64,Point,44.54703522,-68.41615554
200052,NORTHERN MAINE MEDICAL CENTER,ME,All Others,Short-Term Hospital,Fort Kent,Aroostook County,Yes,Short Term,49,Point,47.26558955,-68.59186621
200037,FRANKLIN MEMORIAL HOSPITAL,ME,All Others,Short-Term Hospital,Farmington,Franklin County,Yes,Short Term,70,Point,44.62650589,-70.16293301
200063,PENOBSCOT BAY MEDICAL CENTER,ME,All Others,Short-Term Hospital,Rockport,Knox County,Yes,Short Term,109,Point,44.14400201,-69.08459622
200041,NORTHERN LIGHT INLAND HOSPITAL,ME,All Others,Short-Term Hospital,Waterville,Kennebec County,Yes,Short Term,48,Point,44.54196689,-69.66142405
